id,date,user,user_followers,raw_content,rendered_content,likes,retweets,replies,quoteCount,hashtags,lang,media,mentionedUsers
1498085508232400897,2022-02-27 23:59:52+00:00,PeterPhelps68,4791,Some excellent maps and previously unseen footage here: @HN_Schlottman #UkraineWar #ukraine,Some excellent maps and previously unseen footage here: @HN_Schlottman #UkraineWar #ukraine,1,0,0,0,"['UkraineWar', 'ukraine']",en,,"[User(username='HN_Schlottman', id=894284094628147200, displayname='Henry Schlottman', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1498085348173357060,2022-02-27 23:59:14+00:00,UKRWarSitRep,9557,"It is alleged that missiles continue to fly from the territory of Belarus towards Ukraine. 2/2

#Ukraine #UkraineWar #Russia #UkraineInvasion #UkraineRussiaCrisis https://t.co/8b946qy3PY","It is alleged that missiles continue to fly from the territory of Belarus towards Ukraine. 2/2

#Ukraine #UkraineWar #Russia #UkraineInvasion #UkraineRussiaCrisis https://t.co/8b946qy3PY",6,3,0,0,"['Ukraine', 'UkraineWar', 'Russia', 'UkraineInvasion', 'UkraineRussiaCrisis']",en,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1498085326333562885/pu/img/zCTbc4fxNjF9cuws.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1498085326333562885/pu/vid/624x832/pGkrHjDC623TpBLe.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498085326333562885/pu/vid/320x426/yTeE02tbYA2uoTjO.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498085326333562885/pu/pl/tOM7MHMnjQnuHF-f.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498085326333562885/pu/vid/480x640/jbJfk9IpXh2xdsr0.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=13.466, views=3348, altText=None)]",
1498085275553124356,2022-02-27 23:58:57+00:00,UKRWarSitRep,9557,"It is alleged that missiles continue to fly from the territory of Belarus towards Ukraine. 1/2

#Ukraine #UkraineWar #Russia #UkraineInvasion #UkraineRussiaCrisis https://t.co/BALQA2Mec2","It is alleged that missiles continue to fly from the territory of Belarus towards Ukraine. 1/2

#Ukraine #UkraineWar #Russia #UkraineInvasion #UkraineRussiaCrisis https://t.co/BALQA2Mec2",4,1,0,0,"['Ukraine', 'UkraineWar', 'Russia', 'UkraineInvasion', 'UkraineRussiaCrisis']",en,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1498085215654268931/pu/img/DZVTP4kuVqfDRFWo.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1498085215654268931/pu/vid/320x426/Msu3cqcOXJ7nmiz6.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498085215654268931/pu/pl/61H3WzNmIk_JUiXd.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498085215654268931/pu/vid/720x960/TIXRClKqRZ0VKksK.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498085215654268931/pu/vid/480x640/dH0eNSWyWYY-7mTr.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=24.966, views=1929, altText=None)]",
1498084559463895046,2022-02-27 23:56:06+00:00,conflictudapte,7710,"#BREAKING: EU fighters jets offered as military aid to Ukraine will arrive within an hour. 

#UkraineInvasion #UkraineWar","#BREAKING: EU fighters jets offered as military aid to Ukraine will arrive within an hour. 

#UkraineInvasion #UkraineWar",45,5,1,0,"['BREAKING', 'UkraineInvasion', 'UkraineWar']",en,,
1498084476680736772,2022-02-27 23:55:46+00:00,scotdrone,3210,"The Kelpies in Falkirk lit up with the colours of the Ukraine flag as a symbol of support from Scotland 🇺🇦🏴󠁧󠁢󠁳󠁣󠁴󠁿💙💛
#thekelpies #falkirk #visitfalkirk #scotland #visitscotland #ukraine #standwithukraine #UkraineInvasion #UkraineWar https://t.co/FzitDd0OIH","The Kelpies in Falkirk lit up with the colours of the Ukraine flag as a symbol of support from Scotland 🇺🇦🏴󠁧󠁢󠁳󠁣󠁴󠁿💙💛
#thekelpies #falkirk #visitfalkirk #scotland #visitscotland #ukraine #standwithukraine #UkraineInvasion #UkraineWar https://t.co/FzitDd0OIH",18,6,0,1,"['thekelpies', 'falkirk', 'visitfalkirk', 'scotland', 'visitscotland', 'ukraine', 'standwithukraine', 'UkraineInvasion', 'UkraineWar']",en,"[Photo(previewUrl='https://pbs.twimg.com/media/FMpD4_pXIAknTF-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMpD4_pXIAknTF-?format=jpg&name=large', altText=None)]",
1498084466526502912,2022-02-27 23:55:44+00:00,Newnews_eu,3387,"In Moscow, where anti-war protests are taking place, a vehicle with the words ""Putin is a scumbag"" and ""people, wake up"" crashed into the barriers and caught fire near Pushkinskaya Square.

#UkraineRussia #Ukraine #UkraineUnderAttack #UkraineWar #RussiaUkraineWar #RussiaUkraine https://t.co/o2I1aS5ExZ","In Moscow, where anti-war protests are taking place, a vehicle with the words ""Putin is a scumbag"" and ""people, wake up"" crashed into the barriers and caught fire near Pushkinskaya Square.

#UkraineRussia #Ukraine #UkraineUnderAttack #UkraineWar #RussiaUkraineWar #RussiaUkraine https://t.co/o2I1aS5ExZ",162,38,6,0,"['UkraineRussia', 'Ukraine', 'UkraineUnderAttack', 'UkraineWar', 'RussiaUkraineWar', 'RussiaUkraine']",en,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1498084398876479499/pu/img/oD20GGk-MIT3QTXw.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1498084398876479499/pu/pl/inXm_zVDGxKXj8xg.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498084398876479499/pu/vid/438x270/ep2wG-yeiJlYkiME.mp4?tag=12', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498084398876479499/pu/vid/586x360/2QBI1i2LjCjKAOc4.mp4?tag=12', contentType='video/mp4', bitrate=832000)], duration=12.631, views=24153, altText=None)]",
1498084116247556098,2022-02-27 23:54:21+00:00,mohafzals,18217,#Ukrainewar #Putin #Nato #Europe #Notowar North Korea Cambodia Cuba Afghanistan etc never attacked and removed elected Govts like #West yet US is good rest are evil 👿 https://t.co/JZHjra4q4x,#Ukrainewar #Putin #Nato #Europe #Notowar North Korea Cambodia Cuba Afghanistan etc never attacked and removed elected Govts like #West yet US is good rest are evil 👿 https://t.co/JZHjra4q4x,7,6,1,1,"['Ukrainewar', 'Putin', 'Nato', 'Europe', 'Notowar', 'West']",en,"[Photo(previewUrl='https://pbs.twimg.com/media/FMpDj6OXwAI0Lbk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMpDj6OXwAI0Lbk?format=jpg&name=large', altText=None)]",
1498083974631112710,2022-02-27 23:53:47+00:00,AziTigray,2765,"I have so many #Ukrainians friends my heart is bleeding for them &amp; what they are going through, we are going through war for the last 15 months. #TigraySiege with #ManmadeFamine 
My question is the same since the #UkraineWar begun!
#Tigray is waiting @SenateForeign @HouseForeign","I have so many #Ukrainians friends my heart is bleeding for them &amp; what they are going through, we are going through war for the last 15 months. #TigraySiege with #ManmadeFamine 
My question is the same since the #UkraineWar begun!
#Tigray is waiting @SenateForeign @HouseForeign",0,0,0,0,"['Ukrainians', 'TigraySiege', 'ManmadeFamine', 'UkraineWar', 'Tigray']",en,,"[User(username='SenateForeign', id=1121114158907428866, displayname='Senate Foreign Relations Committee Ranking Member', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='HouseForeign', id=61206798, displayname='House Foreign Affairs Committee Dems', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1498083934026018820,2022-02-27 23:53:37+00:00,Based_FIN,10810,"🇧🇾 Another missile took off from Mozyr, Belarus.

#Ukraine #Belarus #UkraineWar https://t.co/ygGkgi0u3O","🇧🇾 Another missile took off from Mozyr, Belarus.

#Ukraine #Belarus #UkraineWar https://t.co/ygGkgi0u3O",11,4,1,0,"['Ukraine', 'Belarus', 'UkraineWar']",en,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1498083855265415171/pu/img/okVmGq94uElRAiGK.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1498083855265415171/pu/pl/dPDK7dUcDhwA7bmL.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498083855265415171/pu/vid/320x426/ahj_YhKCawk-d_1t.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498083855265415171/pu/vid/720x960/kyBAwfHanxqQKh5I.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1498083855265415171/pu/vid/480x640/E_EAn-hbshvhaqcL.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=25.123, views=4848, altText=None)]",
1498083790647816192,2022-02-27 23:53:03+00:00,conflictudapte,7710,"#BREAKING: ⚡️Russian troops are trying to resume the offensive on Kyiv through Polissya.  A pontoon crossing is being prepared near Demidov across the Irpin River, - General Staff of the Armed Forces of Ukraine 

#UkraineUnderAttack #UkraineInvasion #UkraineWar https://t.co/XQYRUBpUPK","#BREAKING: ⚡️Russian troops are trying to resume the offensive on Kyiv through Polissya.  A pontoon crossing is being prepared near Demidov across the Irpin River, - General Staff of the Armed Forces of Ukraine 

#UkraineUnderAttack #UkraineInvasion #UkraineWar https://t.co/XQYRUBpUPK",2,3,0,1,"['BREAKING', 'UkraineUnderAttack', 'UkraineInvasion', 'UkraineWar']",en,"[Photo(previewUrl='https://pbs.twimg.com/media/FMpDRIxWQAIS1Qz?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMpDRIxWQAIS1Qz?format=jpg&name=large', altText=None)]",
