id,date,content,viewCount	,replyCount,retweetCount,likeCount,quoteCount
1608949262565638144,2022-12-30 22:12:51+00:00,"@POTUS Worst year for the stock market since 2008.

Runaway inflation robbed wealth from the middle class.

Crime was up across the country.

Colossal failure to secure the southern border.

Billions to Ukraine with no end in sight, no accountability.

And you're bragging about this? 🤦🏽‍♂️",11802,36,167,1945,5
1608947815484624897,2022-12-30 22:07:06+00:00,"⚠️ We're dealing with a daily shelling of railway infrastructure. With the line damaged, we find a way how to fix it and #KeepRunning.

We'll share more info once we throw #russians out of #Ukraine. https://t.co/h9UPMCHnkK",415001,68,506,4645,44
1608946832163606528,2022-12-30 22:03:12+00:00,"⚠️Quant à l’Union nationale des journalistes d’Ukraine, elle vient de  déclarer que la nouvelle loi sur la presse imposée par Zelensky constitue «LA PLUS GRANDE MENACE POUR LA LIBERTÉ D’EXPRESSION DANS L’HISTOIRE INDÉPENDANTE DE L’UKRAINE»
@lemondefr
@OuestFrance
@NathalieLoiseau",76112,52,453,1200,8
1608945695263973376,2022-12-30 21:58:41+00:00,"""We did not choose war. But we accepted the battle. A nation is born in the struggle, and may God protect you, dear ones. Our Victory will be the beginning of the prosperity of Ukraine and the end of russia"", - Zaluzhny congratulated Ukrainians on New Year’s holidays.🇺🇦🎄 https://t.co/vAfJzCtcj5",34875,15,244,1671,8
1608944927215583238,2022-12-30 21:55:38+00:00,"@CyberPunkCortes @dpinsen @Steve_Sailer @powerfultakes @witte_sergei @Karmabash @Cyberspec1 On February 24th, Ukraine had the largest and most formidable army in Europe; more potent than any army the US has faced since Korea. 

Russia wrecked it by July.

It was then reconstituted with conscripts and NATO equipment and ""volunteers"". Now THAT army has been wrecked.

1/",45338,21,153,527,8
1608943342464962561,2022-12-30 21:49:20+00:00,"Today Zelensky presented Golden Heart award to Svitlana Denysenko, our director of KSE Foundation. Thank you everyone for your donations that make it possible to help Ukraine through KSE. Thank you for your trust and love! this award is yours! 1/ https://t.co/8A75Kz02gk",90341,29,290,3426,9
1608943257295388672,2022-12-30 21:48:59+00:00,"#Узеленських 

Уряд профінансував на 30 млрд держкомпанію, яку очолив скандальний банкір Мецгер.

PS зелеботи не хочете обговорити?
https://t.co/dgv0jTD9Fr",10892,15,225,357,4
1608939294357610496,2022-12-30 21:33:15+00:00,"Putin's oligarchs have lost $95bn since February's invasion writes The Guardian. Every day of sanctions for the war in Ukraine cost the Russian oligarchs $330 million. Roman Abramovich suffered the most, his fortune was reduced by 57% to $7.8 billion. https://t.co/jRHAYet1xP",69812,27,91,621,10
1608938753816662017,2022-12-30 21:31:06+00:00,"🇷🇺⚔️🇺🇦Columns of Russian Army equipment are moving to the front in the south: Kiev resources announce preparations for an offensive

The footage is filmed and published by accomplices of the Armed Forces of the Ukraine https://t.co/cLxGhuZuSy",66380,58,157,544,11
1608938648418021376,2022-12-30 21:30:41+00:00,"Ukraine has provided itself with food for next year, said Prime Minister Denys Shmyhal at a government meeting.",15188,3,70,770,0
1608937947373633537,2022-12-30 21:27:53+00:00,@MarshaBlackburn Trump owes China go to Maralardo and tell him to tell his owners to chill. Trumps Chinese Taxes. He also tried to remove US from NATO and gave Putin Syria and put Ukraine up so we wouldn't have to defend them if we weren't in NATO allowing Russia to go farther than Ukraine. https://t.co/npkL09apYk,47058,36,366,673,11
1608937282194792448,2022-12-30 21:25:15+00:00,You remember all that big EU talk about #Russian sanctions and stopping buying their #gas…..well #France has quietly been buying all the gas it can get from Russia….at cheap prices of course. 🤷. #UkraineRussianWar #Ukraine #TheEU #EnergyCrisis https://t.co/2M3J0knRMp,84858,206,967,1546,74
1608935823122272257,2022-12-30 21:19:27+00:00,"You've seen his butt now meet the man 🤣 
This is Jason my amazing driver and friend
Hes been on every mission with me to date. Without his help our aid would be sitting
💙💛 please give him a follow. I made him start Twitter
He's been in #Ukraine since March putting in the work https://t.co/FCQUnP67LV",32915,27,121,853,4
1608935676363558912,2022-12-30 21:18:52+00:00,"Defense Minister Reznikov called on Russians to avoid mobilization at all costs, which, according to the GUR of Ukraine, will begin in Russia already in January.",20252,7,100,581,4
1608935459950047233,2022-12-30 21:18:00+00:00,"Ukraine's eminent commander-in-chief General Vitalii Zaluzhny has it just right:
""A nation is born through war.""
""We did not chose war. But we took the fight. And God himself is on our side.""
https://t.co/0Kc4uNB8Ua",736125,745,3473,25111,150
1608935231805083648,2022-12-30 21:17:06+00:00,"In early January, borders will be closed in #Russia, martial law will be declared and a new wave of mobilization will begin, - Reznikov.

The Minister of Defense of #Ukraine called on the Russians to avoid mobilization at all costs in order to save their lives. https://t.co/x3OXIeK8Y1",277701,62,479,2293,47
